"MANUFACTURER","MODEL_NAME","CATEGORY","SCREEN_SIZE","SCREEN","CPU","RAM","STORAGE","GPU","OPERATING_SYSTEM","OPERATING_SYSTEM_VERSION","WEIGHT","PRICE_IN_EUROS"
"Apple","MacBook Pro","Ultrabook","13.3""","IPS Panel Retina Display 2560x1600","Intel Core i5 3.1GHz","8GB","256GB SSD","Intel Iris Plus Graphics 650","macOS","-","1.37kg","180360"
"Apple","MacBook Pro","Ultrabook","13.3""","IPS Panel Retina Display 2560x1600","Intel Core i5 2.3GHz","8GB","128GB SSD","Intel Iris Plus Graphics 640","macOS","-","1.37kg","133"
"Apple","Macbook Air","Ultrabook","13.3""","1440x900","Intel Core i5 1.8GHz","8GB","128GB Flash Storage","Intel HD Graphics 6000","macOS","-","1.34kg","89"
"HP","250 G6","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","No OS","-","1.86kg","57"
"Apple","MacBook Pro","Ultrabook","15.4""","IPS Panel Retina Display 2880x1800","Intel Core i7 2.7GHz","16GB","512GB SSD","AMD Radeon Pro 455","macOS","-","1.83kg","25"
"Acer","Aspire 3","Notebook","15.6""","1366x768","AMD A9-Series 9420 3GHz","4GB","500GB HDD","AMD Radeon R5","Windows","10","2.1kg","40"
"Apple","MacBook Pro","Ultrabook","15.4""","IPS Panel Retina Display 2880x1800","Intel Core i7 2.2GHz","16GB","256GB Flash Storage","Intel Iris Pro Graphics","Mac OS","X","2.04kg","213"
"Apple","Macbook Air","Ultrabook","13.3""","1440x900","Intel Core i5 1.8GHz","8GB","256GB Flash Storage","Intel HD Graphics 6000","macOS",,"1.34kg","11"
"Asus","ZenBook UX430UN","Ultrabook","14.0""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Nvidia GeForce MX150","Windows","10","1.3kg","14"
"Acer","Swift 3","Ultrabook","14.0""","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","1.6kg","77"
"HP","250 G6","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","Intel HD Graphics 620","No OS",,"1.86kg","39"
"HP","250 G6","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","No OS",,"1.86kg","344"
"Apple","MacBook Pro","Ultrabook","15.4""","IPS Panel Retina Display 2880x1800","Intel Core i7 2.8GHz","16GB","256GB SSD","AMD Radeon Pro 555","macOS",,"1.83kg","243997"
"Dell","Inspiron 3567","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","256GB SSD","AMD Radeon R5 M430","Windows","10","2.2kg","49890"
"Apple","MacBook 12""","Ultrabook","12.0""","IPS Panel Retina Display 2304x1440","Intel Core M m3 1.2GHz","8GB","256GB SSD","Intel HD Graphics 615","macOS",,"0.92kg","126240"
"Apple","MacBook Pro","Ultrabook","13.3""","IPS Panel Retina Display 2560x1600","Intel Core i5 2.3GHz","8GB","256GB SSD","Intel Iris Plus Graphics 640","macOS",,"1.37kg","15"
"Dell","Inspiron 3567","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","AMD Radeon R5 M430","Windows","10","2.2kg","74500"
"Apple","MacBook Pro","Ultrabook","15.4""","IPS Panel Retina Display 2880x1800","Intel Core i7 2.9GHz","16GB","512GB SSD","AMD Radeon Pro 560","macOS",,"1.83kg","28"
"Lenovo","IdeaPad 320-15IKB","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","8GB","1TB HDD","Nvidia GeForce 940MX","No OS",,"2.2kg","49"
"Dell","XPS 13","Ultrabook","13.3""","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD","Intel UHD Graphics 620","Windows","10","1.22kg","97"
"Asus","Vivobook E200HA","Netbook","11.6""","1366x768","Intel Atom x5-Z8350 1.44GHz","2GB","32GB Flash Storage","Intel HD Graphics 400","Windows","10","0.98kg","19190"
"Lenovo","Legion Y520-15IKBN","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows","10","2.5kg","99900"
"HP","255 G6","Notebook","15.6""","1366x768","AMD E-Series E2-9000e 1.5GHz","4GB","500GB HDD","AMD Radeon R2","No OS",,"1.86kg","25800"
"Dell","Inspiron 5379","2 in 1 Convertible","13.3""","Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","1.62kg","81900"
"HP","15-BS101nv (i7-8550U/8GB/256GB/FHD/W10)","Ultrabook","15.6""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.91kg","65"
"Dell","Inspiron 3567","Notebook","15.6""","1366x768","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows","10","2.3kg","41864"
"Apple","MacBook Air","Ultrabook","13.3""","1440x900","Intel Core i5 1.6GHz","8GB","128GB Flash Storage","Intel HD Graphics 6000","Mac OS","X","1.35kg","109"
"Dell","Inspiron 5570","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","AMD Radeon 530","Windows","10","2.2kg","80000"
"Dell","Latitude 5590","Ultrabook","15.6""","Full HD 1920x1080","Intel Core i7 8650U 1.9GHz","8GB","256GB SSD +  256GB SSD","Intel UHD Graphics 620","Windows","10","1.88kg","129800"
"HP","ProBook 470","Notebook","17.3""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","Nvidia GeForce 930MX","Windows","10","2.5kg","89600"
"Chuwi","LapBook 15.6""","Notebook","15.6""","Full HD 1920x1080","Intel Atom x5-Z8300 1.44GHz","4GB","64GB Flash Storage","Intel HD Graphics","Windows","10","1.89kg","24499"
"Asus","E402WA-GA010T (E2-6110/2GB/32GB/W10)","Notebook","14.0""","1366x768","AMD E-Series E2-6110 1.5GHz","2GB","32GB Flash Storage","AMD Radeon R2","Windows","10","1.65kg","19"
"HP","17-ak001nv (A6-9220/4GB/500GB/Radeon","Notebook","17.3""","Full HD 1920x1080","AMD A6-Series 9220 2.5GHz","4GB","500GB HDD","AMD Radeon 530","Windows","10","2.71kg","43900"
"Dell","XPS 13","Ultrabook","13.3""","Touchscreen / Quad HD+ 3200x1800","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Intel UHD Graphics 620","Windows","10","1.2kg","186900"
"Apple","MacBook Air","Ultrabook","13.3""","1440x900","Intel Core i5 1.6GHz","8GB","256GB Flash Storage","Intel HD Graphics 6000","Mac OS","X","1.35kg","99800"
"Lenovo","IdeaPad 120S-14IAP","Notebook","14.0""","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","64GB Flash Storage","Intel HD Graphics 500","Windows","10","1.44kg","24900"
"Acer","Aspire 3","Notebook","15.6""","1366x768","Intel Core i3 7130U 2.7GHz","4GB","1TB HDD","Intel HD Graphics 620","Linux",,"2.1kg","36700"
"Dell","Inspiron 5770","Notebook","17.3""","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","AMD Radeon 530","Windows","10","2.8kg","97"
"HP","250 G6","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows","10","1.86kg","48869"
"HP","ProBook 450","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Nvidia GeForce 930MX","Windows","10","2.1kg","87900"
"Asus","X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux)","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 620","Linux",,"2kg","38"
"Dell","Inspiron 7577","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows","10","2.65kg","149900"
"Asus","X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","Nvidia GeForce 940MX","Linux",,"2.3kg","52299"
"Acer","Aspire A515-51G","Notebook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","4GB","256GB SSD","Intel UHD Graphics 620","Windows","10","2.2kg","68200"
"Dell","Inspiron 7773","2 in 1 Convertible","17.3""","Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","12GB","1TB HDD","Nvidia GeForce 150MX","Windows","10","2.77kg","99900"
"Apple","MacBook Pro","Ultrabook","13.3""","IPS Panel Retina Display 2560x1600","Intel Core i5 2.0GHz","8GB","256GB SSD","Intel Iris Graphics 540","macOS",,"1.37kg","141900"
"Lenovo","IdeaPad 320-15ISK","Notebook","15.6""","1366x768","Intel Core i3 6006U 2GHz","4GB","128GB SSD","Intel HD Graphics 520","No OS",,"2.2kg","36900"
"Asus","Rog Strix","Gaming","17.3""","Full HD 1920x1080","AMD Ryzen 1700 3GHz","8GB","256GB SSD +  1TB HDD","AMD Radeon RX 580","Windows","10","3.2kg","129900"
"Dell","Inspiron 3567","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","AMD Radeon R5 M430","Windows","10","2.3kg","63900"
"Asus","X751NV-TY001T (N4200/4GB/1TB/GeForce","Notebook","17.3""","1366x768","Intel Pentium Quad Core N4200 1.1GHz","4GB","1TB HDD","Nvidia GeForce 920MX","Windows","10","2.8kg","46600"
"Asus","X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux)","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","256GB SSD","Intel HD Graphics 520","Linux",,"2kg","41500"
"Dell","Inspiron 5770","Notebook","17.3""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","256GB SSD +  2TB HDD","AMD Radeon 530","Windows","10","2.8kg","12"
"Dell","Vostro 5471","Ultrabook","14.0""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","1.7kg","8700"
"Lenovo","IdeaPad 520S-14IKB","Notebook","14.0""","IPS Panel Full HD 1920x1080","Intel Core i3 7130U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","No OS",,"1.7kg","59900"
"Asus","UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10)","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","1.4kg","9400"
"HP","250 G6","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.86kg","69000"
"Asus","ZenBook Pro","Ultrabook","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","512GB SSD","Nvidia GeForce GTX 1050 Ti","Windows","10","1.8kg","19"
"HP","250 G6","Notebook","15.6""","1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","AMD Radeon 520","Windows","10","1.86kg","43869"
"HP","Stream 14-AX040wm","Notebook","14.0""","1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","32GB SSD","Intel HD Graphics 400","Windows","10","1.44kg","22900"
"Lenovo","V310-15ISK (i5-7200U/4GB/1TB/FHD/W10)","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows","10","1.9kg","4900"
"Asus","FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce","Gaming","17.3""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","12GB","1TB HDD","Nvidia GeForce GTX 1050 Ti","Linux",,"3kg","94900"
"Microsoft","Surface Laptop","Ultrabook","13.5""","Touchscreen 2256x1504","Intel Core i5 7200U 2.5GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows","10 S","1.252kg","108900"
"Dell","Inspiron 5370","Ultrabook","13.3""","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon 530","Windows","10","1.4kg","95500"
"Dell","Inspiron 5570","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon 530","Windows","10","2.2kg","87000"
"MSI","GL72M 7RDX","Gaming","17.3""","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows","10","2.7kg","109500"
"Acer","Aspire E5-475","Notebook","14.0""","1366x768","Intel Core i3 6006U 2GHz","8GB","1TB HDD","Intel HD Graphics 520","Windows","10","2.1kg","38900"
"Asus","FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce","Gaming","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows","10","2.2kg","94900"
"Lenovo","IdeaPad 320-15IKBN","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","2TB HDD","Intel HD Graphics 620","No OS",,"2.2kg","51900"
"Dell","Inspiron 5570","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","128GB SSD +  1TB HDD","Intel UHD Graphics 620","Windows","10","2.02kg","85500"
"Acer","Aspire A515-51G-32MX","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 7130U 2.7GHz","4GB","1TB HDD","Nvidia GeForce MX130","Windows","10","2.2kg","53000"
"HP","ProBook 470","Notebook","17.3""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce 930MX","Windows","10","2.5kg","97"